model,trial,value,best_so_far
XGB,34,0.3350005639929452,0.3378261086837188
XGB,35,0.32689058265956844,0.3378261086837188
XGB,36,0.2573988640625549,0.3378261086837188
XGB,37,0.327351597319966,0.3378261086837188
XGB,38,0.2671634864218306,0.3378261086837188
XGB,39,0.32149906026895286,0.3378261086837188
XGB,40,0.31256979986382605,0.3378261086837188
XGB,41,0.33452592962085115,0.3378261086837188
XGB,42,0.33283623372665605,0.3378261086837188
XGB,43,0.32763721916172084,0.3378261086837188
XGB,44,0.33682686944288504,0.3378261086837188
XGB,45,0.3338548980811778,0.3378261086837188
XGB,46,0.1763703700285101,0.3378261086837188
XGB,47,0.32340421903777067,0.3378261086837188
XGB,48,0.32103978509991316,0.3378261086837188
XGB,49,0.3160187709609715,0.3378261086837188
XGB,50,0.2746916195986827,0.3378261086837188
XGB,51,0.3280424606301624,0.3378261086837188
XGB,52,0.3359420378575248,0.3378261086837188
XGB,53,0.3366766116387949,0.3378261086837188
XGB,54,0.32911580877108054,0.3378261086837188
XGB,55,0.30235894626278603,0.3378261086837188
XGB,56,0.2993783147282954,0.3378261086837188
XGB,57,0.3284966360674964,0.3378261086837188
XGB,58,0.3030186304543241,0.3378261086837188
XGB,59,0.3193736998604784,0.3378261086837188
XGB,60,0.29402431266874857,0.3378261086837188
XGB,61,0.3388135419165354,0.3388135419165354
XGB,62,0.33252482463555205,0.3388135419165354
XGB,63,0.32052645195491514,0.3388135419165354
XGB,64,0.32076803512522517,0.3388135419165354
XGB,65,0.32339035326344734,0.3388135419165354
XGB,66,0.3390412950131754,0.3390412950131754
XGB,67,0.32460159970204017,0.3390412950131754
XGB,68,0.33522704149650034,0.3390412950131754
XGB,69,0.2570602553870956,0.3390412950131754
XGB,70,0.32385447665609984,0.3390412950131754
XGB,71,0.34071454768396464,0.34071454768396464
XGB,72,0.33711062923839,0.34071454768396464
XGB,73,0.33141349175008544,0.34071454768396464
XGB,74,0.3363720046534107,0.34071454768396464
XGB,75,0.33506059425885,0.34071454768396464
XGB,76,0.3356443410175345,0.34071454768396464
XGB,77,0.31716592332535637,0.34071454768396464
XGB,78,0.31744205864514363,0.34071454768396464
XGB,79,0.33210099729704595,0.34071454768396464
LGBM,0,0.15352722429484042,0.15352722429484042
LGBM,1,0.28262285119772157,0.28262285119772157
